"{22.041577900758995, {22.03096975060851, 22.05218605090948}, {21.03087666639901, 23.15156415275003}, {21.03087666639901, 22.832636504957115}}","{52.950307922805685, {52.78003284017158, 53.12058300543979}, {43.757498671303566, 72.5164682593169}, {43.757498671303566, 62.815252360148385}}","{2879.1847953742317, {2848.0981916894107, 2910.271399059053}, {1914.7186899691335, 5258.638168804514}, {1914.7186899691335, 3945.7559290691274}}","{8.385142904226571, {8.382257453735528, 8.388028354717614}, {8.095544509594447, 8.671973848193478}, {8.095544509594447, 8.598623247345486}}","{18.135867395577122, {18.128230656993335, 18.14350413416091}, {17.3777343302928, 18.9100090756885}, {17.3777343302928, 18.707351514980434}}","{13.715464864696912, {13.558198194065683, 13.87273153532814}, {7.177569723604295, 36.95557648758209}, {7.177569723604295, 24.031160146247558}}"
"{13.082837653048303, {13.07654330799898, 13.089131998097626}, {12.47444646508219, 13.727128447673914}, {12.47444646508219, 13.548823955194631}}","{31.376765944588552, {31.28457671048365, 31.468955178693456}, {25.970134320495998, 42.480282211234815}, {25.970134320495998, 37.45040683598601}}","{1006.6179030948508, {998.8106482899286, 1014.425157899773}, {674.4478766246042, 1804.574376746153}, {674.4478766246042, 1402.5329721808678}}","{4.978357423191602, {4.976645544608277, 4.980069301774926}, {4.807917281712293, 5.152198817002385}, {4.807917281712293, 5.104909437496655}}","{10.766723640879878, {10.76210364513996, 10.771343636619795}, {10.30534751210172, 11.238334136084957}, {10.30534751210172, 11.105724367947122}}","{13.694318574020436, {13.540375668110151, 13.84826147993072}, {7.175309239357504, 36.78379249255213}, {7.175309239357504, 24.067138892667675}}"
"{9.891898561739842, {9.887254177656208, 9.896542945823475}, {9.438300556625263, 10.377834949026314}, {9.438300556625263, 10.234848797979444}}","{23.706737808572036, {23.63784143675136, 23.775634180392714}, {19.600171291433494, 32.23767209454223}, {19.600171291433494, 28.271105276895323}}","{574.3617207049847, {570.1945919811959, 578.5288494287735}, {384.16671465353375, 1039.2675020752272}, {384.16671465353375, 799.2553935772986}}","{3.764859075715772, {3.763575269956505, 3.7661428814750386}, {3.6375933735092074, 3.894227211414618}, {3.6375933735092074, 3.859624412686242}}","{8.144253632107345, {8.140853579070384, 8.147653685144306}, {7.81172232099318, 8.491271005007139}, {7.81172232099318, 8.396166616446177}}","{13.683506624692617, {13.528129857250335, 13.8388833921349}, {7.142659683650436, 36.544036670781956}, {7.142659683650436, 24.196568840362115}}"
"{14.173174280980598, {14.16639356384221, 14.179954998118987}, {13.518247393721476, 14.879861972457158}, {13.518247393721476, 14.671896395768663}}","{34.09960945057097, {33.992214155714734, 34.20700474542721}, {28.02177563766367, 46.11932308868666}, {28.02177563766367, 40.60839185122533}}","{1192.7974939136482, {1181.4072042105254, 1204.187783616771}, {785.2199098875611, 2126.991962158667}, {785.2199098875611, 1649.0414887426637}}","{5.391995883917678, {5.390134564926081, 5.393857202909276}, {5.206736342268361, 5.580186893194362}, {5.206736342268361, 5.527160043696172}}","{11.661169648628965, {11.656198336866895, 11.666140960391035}, {11.180081500231458, 12.161115892897643}, {11.180081500231458, 12.029602870176879}}","{13.84576675223786, {13.686857834616792, 14.00467566985893}, {7.174533719348278, 36.51134464138552}, {7.174533719348278, 24.801739856185677}}"
"{14.702506083232308, {14.695515131590431, 14.709497034874184}, {14.056114005814745, 15.445690160734701}, {14.056114005814745, 15.230198102333036}}","{35.388893578127494, {35.27240145790946, 35.50538569834553}, {29.22861175945315, 49.00255990566771}, {29.22861175945315, 42.1399290848807}}","{1287.6879045974035, {1275.2291865274842, 1300.1466226673228}, {854.3117453848428, 2401.2508773085524}, {854.3117453848428, 1775.7736232787745}}","{5.595992873042248, {5.594082100397548, 5.597903645686948}, {5.408266303649428, 5.788409021186964}, {5.408266303649428, 5.7367081186004825}}","{12.098619236785368, {12.093571478550693, 12.103666995020042}, {11.597602846834155, 12.621568763540129}, {11.597602846834155, 12.471584753236755}}","{13.923905136168946, {13.756128334546212, 14.09168193779168}, {7.197815259336555, 38.84112490690433}, {7.197815259336555, 24.56292716817508}}"
"{24.749112378761033, {24.737508755193694, 24.760716002328373}, {23.62636227598759, 25.96247127547709}, {23.62636227598759, 25.617799430019502}}","{59.33807835944613, {59.14935584397659, 59.526800874915665}, {49.210684891679264, 80.62894751542704}, {49.210684891679264, 70.35179374184544}}","{3613.691095949559, {3574.5391513919526, 3652.8430405071654}, {2421.6915075081497, 6501.0271774454895}, {2421.6915075081497, 4949.374882695162}}","{9.417885150729122, {9.414680338212486, 9.421089963245757}, {9.096981800888086, 9.74090519132351}, {9.096981800888086, 9.652321370643783}}","{20.370298319814314, {20.361710806268235, 20.378885833360393}, {19.524289813830215, 21.24642647105762}, {19.524289813830215, 21.001271752516672}}","{13.629174212662457, {13.472880302477567, 13.785468122847348}, {7.202165011819978, 36.758959530753394}, {7.202165011819978, 23.892194587055386}}"
"{13.928666812729725, {13.922018548025266, 13.935315077434185}, {13.299455092104251, 14.625328426018346}, {13.299455092104251, 14.426394272766565}}","{33.430733891565836, {33.32804830692936, 33.53341947620231}, {27.62476096526795, 45.22033012193262}, {27.62476096526795, 39.70835621200099}}","{1145.0533425117546, {1134.9414633984645, 1155.1652216250448}, {763.1274183881918, 2044.878256336567}, {763.1274183881918, 1576.753553059158}}","{5.300009619651891, {5.298205064034363, 5.301814175269419}, {5.121151335934449, 5.483957775315573}, {5.121151335934449, 5.434461799485373}}","{11.460372040687208, {11.45551360812599, 11.465230473248425}, {10.9743270889102, 11.954536101610653}, {10.9743270889102, 11.81797719966908}}","{13.680371915609273, {13.523003090858003, 13.837740740360543}, {7.190085074593966, 36.02413316979972}, {7.190085074593966, 23.70795276465146}}"
"{15.842771597860885, {15.835233138332574, 15.850310057389196}, {15.118772632959978, 16.628052573534234}, {15.118772632959978, 16.399917775594464}}","{38.07166925714935, {37.96028634715839, 38.18305216714032}, {31.349754959340494, 52.01210458066337}, {31.349754959340494, 45.30709269830489}}","{1481.73637321777, {1470.988595959542, 1492.4841504759981}, {982.807136010694, 2705.2590229098632}, {982.807136010694, 2052.7326487727923}}","{6.025763433626175, {6.023707710376228, 6.027819156876123}, {5.821155792150586, 6.229434110279373}, {5.821155792150586, 6.176255486784373}}","{13.034622322553815, {13.029109282029607, 13.040135363078024}, {12.493321246470892, 13.582821467406585}, {12.493321246470892, 13.448091739314837}}","{13.79712196796739, {13.639177863466578, 13.955066072468203}, {7.1917921228148165, 36.49738676823941}, {7.1917921228148165, 24.58077173666292}}"
"{13.856073263262282, {13.849469350273733, 13.86267717625083}, {13.230088990982816, 14.541592671790195}, {13.230088990982816, 14.35322006236044}}","{33.38861139848255, {33.28379712439649, 33.49342567256861}, {27.47696715764768, 46.130262107937725}, {27.47696715764768, 39.89725113514076}}","{1143.388182575553, {1133.7525918032525, 1153.0237733478534}, {754.9837241824492, 2128.001082147035}, {754.9837241824492, 1591.790648140491}}","{5.2700469867421615, {5.26824703273269, 5.271846940751633}, {5.092935898511913, 5.45099146677698}, {5.092935898511913, 5.403618402043897}}","{11.400160403605499, {11.395368895467126, 11.404951911743872}, {10.926022261849852, 11.883410794699122}, {10.926022261849852, 11.757345266217062}}","{13.966505021854767, {13.801429054756486, 14.131580988953047}, {7.207469061463904, 38.22907927927624}, {7.207469061463904, 25.027415841660197}}"
"{11.20325203084439, {11.197827987683226, 11.208676074005552}, {10.692314944291903, 11.773100271357919}, {10.692314944291903, 11.604566917987746}}","{26.970453734890643, {26.868377474118653, 27.072529995662634}, {22.240590324684362, 36.83111591755834}, {22.240590324684362, 32.11834102088044}}","{754.5200709483947, {739.5486953422306, 769.4914465545588}, {494.6438579904436, 1356.5310997326194}, {494.6438579904436, 1031.5878299335714}}","{4.263207815851319, {4.261752611798876, 4.264663019903763}, {4.118147070405011, 4.4081126107005035}, {4.118147070405011, 4.368876570397191}}","{9.21938033154797, {9.215494071465772, 9.22326659163017}, {8.840466781783114, 9.608284736727235}, {8.840466781783114, 9.510101928968949}}","{13.82912861878575, {13.66669769360225, 13.99155954396925}, {7.200138055426368, 37.31176823952823}, {7.200138055426368, 24.40247114478563}}"
"{11.121779576882007, {11.116486383799401, 11.127072769964613}, {10.616335019242616, 11.6750510699223}, {10.616335019242616, 11.516453663158224}}","{26.692416801724573, {26.613196922586948, 26.771636680862198}, {22.065798501461842, 36.18567798139159}, {22.065798501461842, 31.75372356731805}}","{728.8165212497883, {723.0575784922612, 734.5754640073153}, {486.8994635071156, 1309.403290972968}, {486.8994635071156, 1008.2989603896499}}","{4.231524029882084, {4.230095185650537, 4.23295287411363}, {4.093555097914836, 4.378067808988053}, {4.093555097914836, 4.336913452908769}}","{9.148916584532595, {9.14503561662714, 9.152797552438049}, {8.762499605171742, 9.533438482505625}, {8.762499605171742, 9.432730724369275}}","{13.70613689141955, {13.550059764031952, 13.86221401880715}, {7.196725605021567, 35.9324296535337}, {7.196725605021567, 24.416399741425415}}"
"{16.114842087968565, {16.10721683620916, 16.12246733972797}, {15.381926419394512, 16.903483953912293}, {15.381926419394512, 16.681942767600937}}","{38.761284232180984, {38.63362207519284, 38.88894638916913}, {32.01155061965441, 52.87551522699337}, {32.01155061965441, 45.95392552527078}}","{1544.84826099708, {1527.4192846388369, 1562.277237355323}, {1024.7393730746967, 2795.820110520008}, {1024.7393730746967, 2111.7632711821334}}","{6.130942973829582, {6.128861998993848, 6.133023948665317}, {5.920767436546968, 6.3392475654617915}, {5.920767436546968, 6.284338209747242}}","{13.255387408038287, {13.2497525775947, 13.261022238481873}, {12.70376854345371, 13.832893226165627}, {12.70376854345371, 13.67328002108156}}","{13.759685948886478, {13.599536778605088, 13.919835119167868}, {7.223241919606784, 36.97281426669807}, {7.223241919606784, 24.14743835629041}}"
"{21.937634039397178, {21.92722137869821, 21.948046700096146}, {20.956399251779207, 23.04866168751192}, {20.956399251779207, 22.719412029398196}}","{52.73619546245765, {52.55513173043851, 52.91725919447679}, {43.7061273002881, 71.72783526714765}, {43.7061273002881, 62.675794222926136}}","{2866.419893319695, {2817.1187913166873, 2915.7209953227025}, {1910.2255635889892, 5144.882352111072}, {1910.2255635889892, 3928.255181474581}}","{8.34619670110559, {8.343317731820399, 8.349075670390782}, {8.0638488478872, 8.643430993208664}, {8.0638488478872, 8.561512174402276}}","{18.043655703823838, {18.03609765714046, 18.051213750507216}, {17.299701443623263, 18.81406807892836}, {17.299701443623263, 18.60144398905927}}","{13.730046613763454, {13.574433707952176, 13.885659519574732}, {7.1984151720301615, 36.35609348547627}, {7.1984151720301615, 24.1376743513238}}"
"{14.285104557005324, {14.278310537357108, 14.29189857665354}, {13.626680775089286, 14.999393272292387}, {13.626680775089286, 14.78502243148435}}","{34.25499114843992, {34.15269553512802, 34.35728676175182}, {28.320002854513397, 46.91548960815421}, {28.320002854513397, 40.73151759973317}}","{1200.6357740729038, {1190.8509276408636, 1210.420620504944}, {802.022561679647, 2201.063165172826}, {802.022561679647, 1659.056525977373}}","{5.434583483870264, {5.43272977280904, 5.436437194931488}, {5.251759617446626, 5.620572865894935}, {5.251759617446626, 5.571114914326248}}","{11.757745970221407, {11.752822685670822, 11.762669254771993}, {11.276238643396102, 12.26114299794424}, {11.276238643396102, 12.125724981849663}}","{13.649971567150164, {13.4955651662154, 13.804377968084928}, {7.219776729629099, 36.71072300026545}, {7.219776729629099, 23.595435414322417}}"
"{21.282854697818646, {21.27275260252429, 21.292956793113003}, {20.3168246772524, 22.33761407666893}, {20.3168246772524, 22.03385199311049}}","{51.10859432658048, {50.9561247591152, 51.26106389404576}, {42.25524623313876, 69.69733432868236}, {42.25524623313876, 60.85311485298259}}","{2672.5837057521485, {2652.098289291838, 2693.069122212459}, {1785.5058342231878, 4857.718412524125}, {1785.5058342231878, 3703.101587310291}}","{8.098656345420913, {8.095886491915447, 8.10142619892638}, {7.824763116034308, 8.3828807909684}, {7.824763116034308, 8.30151269085114}}","{17.516462671967204, {17.509091891420656, 17.523833452513752}, {16.80006575514721, 18.267018083955566}, {16.80006575514721, 18.065257164746246}}","{13.803002663036922, {13.644451762949783, 13.961553563124061}, {7.249063913663152, 36.97359684852505}, {7.249063913663152, 24.059249420414837}}"
"{11.791402762990366, {11.785788866499399, 11.797016659481333}, {11.262064817094712, 12.37912768977716}, {11.262064817094712, 12.211734143310645}}","{28.28433465347496, {28.198749945637783, 28.36991936131214}, {23.332161791807696, 38.397015246083896}, {23.332161791807696, 33.66471542367315}}","{819.0646702796976, {812.3068475766407, 825.8224929827544}, {544.389773879091, 1474.3307798079993}, {544.389773879091, 1133.3130645568967}}","{4.487536151752974, {4.486007146971683, 4.489065156534266}, {4.339158024597882, 4.642219097046702}, {4.339158024597882, 4.600029984607554}}","{9.70609690752477, {9.701957141026039, 9.710236674023502}, {9.300037910249578, 10.132631035687902}, {9.300037910249578, 10.016174670287427}}","{13.703034208951951, {13.545395252557539, 13.860673165346364}, {7.171854767770201, 36.63296919756203}, {7.171854767770201, 24.101511621873343}}"
"{12.380689411333364, {12.374836716136402, 12.386542106530326}, {11.827433772380854, 12.990322747687346}, {11.827433772380854, 12.816248506973217}}","{29.823994771294046, {29.727279086992247, 29.920710455595845}, {24.621994240876937, 41.07473752903885}, {24.621994240876937, 35.418022386479365}}","{913.8122604855738, {905.3921073302973, 922.2324136408503}, {606.242600397777, 1687.1340630794327}, {606.242600397777, 1254.4363097691532}}","{4.709854591126814, {4.708240218696307, 4.711468963557321}, {4.551243386176672, 4.874141916287094}, {4.551243386176672, 4.829965312967811}}","{10.186843115926651, {10.18258456125116, 10.191101670602142}, {9.767705252288795, 10.610114873483695}, {9.767705252288795, 10.501397154252201}}","{13.916458742534934, {13.751073387653829, 14.081844097416038}, {7.238721343851253, 38.086579707103915}, {7.238721343851253, 24.876298855357025}}"
"{5.760760938500926, {5.7580142562854615, 5.763507620716391}, {5.496663736961996, 6.048830131976759}, {5.496663736961996, 5.964288125194444}}","{13.81831854087452, {13.777507999955457, 13.859129081793583}, {11.422167539357329, 18.67745986173227}, {11.422167539357329, 16.41811625306602}}","{195.28003741118812, {193.7306860498216, 196.82938877255464}, {130.46591129714824, 348.84750688662}, {130.46591129714824, 269.5545412991906}}","{2.1920507147166064, {2.19130391916551, 2.192797510267703}, {2.117191716969139, 2.267586663708232}, {2.117191716969139, 2.247012260419538}}","{4.740879949708886, {4.738913554335454, 4.742846345082318}, {4.553267958356411, 4.94526508665692}, {4.553267958356411, 4.885570189517313}}","{13.695150735633106, {13.539927030344321, 13.850374440921891}, {7.195547145469017, 36.170592976381755}, {7.195547145469017, 24.06398954460524}}"
